tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
61098M8,97092530,07,14,CHEV,MD,500 E HEATH ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:41:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
GGJ8716,97727663,09,12,TOYT,PA,1600 LANCASTER ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:41:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
52W782,97457691,10,12,FORD,MD,UB S CALVERT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:41:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
36583M7,97457683,04,13,LEXS,MD,UB S CALVERT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:40:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
57V066,97324073,12,13,FORD,MD,1000 CATHEDRAL ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:40:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
4AM2246,97457675,07,13,KIA,MD,UB S CALVERT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:39:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
06479CC,97092522,,0,ACUR,MD,600 E HEATH ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:38:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
9AK5455,58065665,09,13,PONT,MD,WILKENS AVE EB @ DESOTO RD,31,Right on Red,$75.00,07/04/2012 09:38:00 PM,$0.00,,$0.00,$0.00,,07/17/2012 11:02:00 AM +0000
7AL8449,58065657,04,14,CHEV,MD,HARFORD NB @ ROSALIE,30,Red Light Violation,$75.00,07/04/2012 09:37:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
FZC4523,97092514,,0,HOND,NY,600 E HEATH ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:36:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
